Objective Description,Course Number,Skill Tags
Describe the major subdisciplines of psychology and the kinds of questions each addresses,Beh Sci 110,nature_of_science|logical_structure_analysis|scientific_skepticism|interdisciplinary_transfer
Explain foundational theories of human behavior and mental processes,Beh Sci 110,hypothesis_formation|model_limitations|logical_structure_analysis|evidence_evaluation|nature_of_science
Apply the scientific method to evaluate evidence and claims about human behavior,Beh Sci 110,experimental_design|evidence_evaluation|hypothesis_formation|scientific_skepticism|replication_and_reproducibility
Distinguish between correlation and causation when interpreting behavioral data,Beh Sci 110,data_interpretation|inference_calibration|logical_structure_analysis|scientific_skepticism|assumption_identification
Describe how cognitive biases and heuristics influence individual decision-making,Beh Sci 110,bias_recognition|decision_framing|metacognitive_awareness|assumption_identification|inference_calibration
Explain how social and situational factors shape individual and group behavior,Beh Sci 110,perspective_taking|social_structures|identity_and_diversity|systems_thinking|human_nature_inquiry
Apply psychological principles to analyze interpersonal and organizational problems,Beh Sci 110,logical_structure_analysis|systems_thinking|interpersonal_influence|decision_framing|interdisciplinary_transfer
Demonstrate respect for human dignity and the value of diversity and inclusion in practice,Beh Sci 110,identity_and_diversity|rights_and_duties|values_clarification|integrity_and_honesty|cross_cultural_ethics|human_nature_inquiry
Use multiple perspectives to approach complex human problems in professional contexts,Beh Sci 110,perspective_taking|stakeholder_identification|assumption_identification|uncertainty_tolerance|interdisciplinary_transfer
Recognize how one's own assumptions and background influence perceptions of others,Beh Sci 110,assumption_identification|metacognitive_awareness|bias_recognition|perspective_taking|identity_and_diversity
Explain major developmental theories across the lifespan and their implications for behavior,Beh Sci 110,change_and_continuity|model_limitations|logical_structure_analysis|interdisciplinary_transfer|inference_calibration
Analyze biological bases of behavior including brain structure and neurotransmitter function,Beh Sci 110,nature_of_science|systems_thinking|interdisciplinary_transfer|quantitative_reasoning|logical_structure_analysis
Describe the psychology of stress coping and resilience and apply it to military contexts,Beh Sci 110,resilience_under_adversity|physical_and_mental_discipline|interdisciplinary_transfer|human_nature_inquiry|values_clarification
Apply principles of motivation and learning theory to training and performance contexts,Beh Sci 110,interpersonal_influence|mission_command|organizational_design|interdisciplinary_transfer|team_dynamics
Evaluate research designs in behavioral science for validity and ethical soundness,Beh Sci 110,experimental_design|replication_and_reproducibility|professional_responsibility|logical_structure_analysis|evidence_evaluation|model_limitations
